id,filename,yes,homeowner,rep_share,iBlackShare,iLatinoShare,iBAshare,logpop,logincome_revised,iLogTaxPerCap,IDcity,year
391,2006-Humboldt-BlueLake-V-Impartial.txt,64.1,0.5816,-0.1615,0.0035,0.0491,0.3185,3.0835,4.6859,2.3023,43,2006
394,1997-Humboldt-Eureka-X-Impartial.txt,67.1,0.4817,-0.0524,0.0149,0.0688,0.1721,4.4253,4.4979,2.5555,135,1997
395,1997-Humboldt-Ferndale-V-Impartial.txt,72.3,0.6268,0.0841,0.0061,0.0371,0.2485,3.0871,4.6415,2.2675,140,1997
397,1998-Humboldt-RioDell-B-Impartial.txt,49.9,0.5763,0.106,0.0015,0.1014,0.0613,3.4942,4.5242,1.8512,348,1998
398,1998-Humboldt-RioDell-E-Impartial.txt,43.4,0.5763,0.106,0.0015,0.1014,0.0613,3.4942,4.5242,1.8512,348,1998
399,2004-Humboldt-Trinidad-A-Impartial.txt,56.3,0.5869,-0.2446,0.0118,0.0255,0.5115,2.5289,4.7575,2.7528,437,2004
400,2008-Humboldt-Trinidad-I-Impartial.txt,52.2,0.5502,-0.2353,0.0076,0.0285,0.5173,2.5478,4.8052,3.1201,437,2008
413,2007-Imperial-Brawley-W-Impartial.txt,46.9,0.5379,-0.0581,0.0167,0.7922,0.1022,4.37,4.6371,2.5962,46,2007
414,1996-Imperial-Calexico-B-Impartial.txt,38.3,0.5382,-0.2906,0.0013,0.954,0.0766,4.3893,4.3561,2.2745,55,1996
423,1996-Imperial-ElCentro-A-Impartial.txt,34.5,0.5191,-0.0433,0.0316,0.7086,0.1382,4.5714,4.4907,2.3822,124,1996
437,2008-Kern-Arvin-L-Impartial.txt,71.6,0.5205,-0.1915,0.0053,0.9166,0.0335,4.2632,4.5044,2.1929,19,2008
441,1996-Kern-CaliforniaCity-G-Impartial.txt,48,0.679,0.1119,0.1194,0.1428,0.1186,3.933,4.6588,2.2777,56,1996
442,1996-Kern-CaliforniaCity-H-Impartial.txt,49.3,0.679,0.1119,0.1194,0.1428,0.1186,3.933,4.6588,2.2777,56,1996
443,1996-Kern-CaliforniaCity-M-Impartial.txt,44.2,0.679,0.1119,0.1194,0.1428,0.1186,3.933,4.6588,2.2777,56,1996
444,1998-Kern-CaliforniaCity-B-Impartial.txt,76.5,0.6748,0.1249,0.1216,0.1562,0.1198,3.9275,4.6867,2.1093,56,1998
445,2001-Kern-CaliforniaCity-C-Impartial.txt,71.9,0.6647,0.1523,0.1259,0.1908,0.12,3.9595,4.706,2.256,56,2001
446,2004-Kern-CaliforniaCity-G-Impartial.txt,63.4,0.6487,0.1955,0.1318,0.2543,0.1171,4.043,4.6932,2.0972,56,2004
447,2004-Kern-CaliforniaCity-L-Impartial.txt,70.1,0.6487,0.1955,0.1318,0.2543,0.1171,4.043,4.6932,2.0972,56,2004
448,2006-Kern-California-J-Impartial.txt,48.6,0.6395,0.1616,0.1357,0.2967,0.1152,4.0614,4.6856,2.3477,56,2006
449,2007-Kern-CaliforniaCity-A-Impartial.txt,67.9,0.6322,0.1447,0.1377,0.3178,0.1142,4.0968,4.6796,2.3066,56,2007
450,2010-Kern-CaliforniaCity-E-Impartial.txt,46.7,0.6258,0.1041,0.1436,0.3814,0.1113,4.1498,4.6741,2.2167,56,2010
451,2004-Kern-Delano-P-Impartial.txt,46.4,0.5741,-0.131,0.0611,0.6968,0.0561,4.6322,4.5062,2.042,110,2004
